,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1533721075.0,817,0,4,1
1,1533721080.0,0,0,4,0
2,1533721085.0,0,10240000,4,1
3,1533721090.0,0,10240000,4,1
4,1533721095.0,0,10240000,4,1
5,1533721100.0,0,10240000,4,1
6,1533721105.0,0,10240000,4,1
7,1533721110.0,0,10240000,4,1
8,1533721115.0,0,10240000,4,1
9,1533721120.0,0,10240000,4,1
10,1533721125.0,0,10752000,4,1
11,1533721130.0,0,10240000,4,1
12,1533721135.0,0,10240000,4,1
13,1533721140.0,0,2048000,4,1
14,1533721145.0,0,8192000,4,1
15,1533721150.0,0,10240000,4,1
16,1533721155.0,0,10240000,4,1
17,1533721160.0,0,10240000,4,1
18,1533721165.0,0,10240000,4,1
19,1533721170.0,0,10752000,4,1
20,1533721175.0,0,10240000,4,1
21,1533721180.0,0,10240000,4,1
22,1533721185.0,0,10240000,4,1
23,1533721190.0,0,10240000,4,1
24,1533721195.0,0,10240000,4,1
25,1533721200.0,0,10240000,4,1
26,1533721205.0,0,10240000,4,1
27,1533721210.0,0,9216000,4,1
28,1533721215.0,0,0,4,0
29,1533721220.0,0,321912832,4,1
30,1533721225.0,0,473956352,4,1
31,1533721230.0,0,252706816,4,1
32,1533721235.0,0,0,4,0
33,1533721240.0,0,10240000,4,1
34,1533721245.0,0,10240000,4,1
35,1533721250.0,0,10240000,4,1
36,1533721255.0,0,10240000,4,1
37,1533721260.0,0,10240000,4,1
38,1533721265.0,0,10240000,4,1
39,1533721270.0,0,10240000,4,1
40,1533721275.0,0,10240000,4,1
41,1533721280.0,0,10752000,4,1
42,1533721285.0,0,10240000,4,1
43,1533721290.0,0,10240000,4,1
44,1533721295.0,0,10240000,4,1
45,1533721300.0,0,10240000,4,1
46,1533721305.0,0,10240000,4,1
47,1533721310.0,0,10240000,4,1
48,1533721315.0,0,10240000,4,1
49,1533721320.0,0,10752000,4,1
50,1533721325.0,0,10240000,4,1
51,1533721330.0,0,10240000,4,1
52,1533721335.0,0,10240000,4,1
53,1533721340.0,0,6144000,4,1
54,1533721345.0,0,4096000,4,1
55,1533721350.0,0,10240000,4,1
56,1533721355.0,0,10240000,4,1
57,1533721360.0,0,10240000,4,1
58,1533721365.0,0,9216000,4,1
59,1533721370.0,0,0,4,0
60,1533721375.0,0,424673280,4,1
61,1533721380.0,0,477102080,4,1
62,1533721385.0,0,146800640,4,1
63,1533721390.0,0,0,3,0
64,1533721395.0,1048576000,0,3,1
65,1533721400.0,0,0,3,0
66,1533721405.0,0,296747008,3,1
67,1533721410.0,0,465567744,3,1
68,1533721415.0,0,286261248,3,1
