,volume,mode,IOpattern,IOsize,nodes,ioi_bw
1,23386773196,read,seq,5823399.700199204,1,4677354639.2
2,13175870576,read,seq,15836382.903846154,1,2635174115.2
3,2670042802,read,seq,15523504.662790697,1,534008560.4
4,12916577027,read,seq,15829138.513480391,1,2583315405.4
5,2929336351,read,seq,15581576.335106382,1,585867270.2
6,15845913378,read,seq,15782782.249003984,1,3169182675.6
7,13242856069,read,seq,15840736.92464115,1,2648571213.8
8,2610618637,read,seq,1550248.5967933491,1,522123727.4
