job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,nfs_bw,lfs_bw,sbb_bw
0,6, write, uncl,6.0,1,1.2
1,23386773196,read,seq,5823399.700199204,1,4677354639.2,209152214.74373308,20641459131.509266,7731164692.892562
2,13175870576,write,stride,15836382.903846156,1,2635174115.2,85563157.19202545,315249924.0579016,359377862.58625865
3,2670042802,read,rand,15523504.662790695,1,534008560.4
