,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1561718200.0,9394480,0,40,40
1,1561718200.0,9394480,0,40,0
2,1561718200.0,9394480,0,80,40
3,1561718205.0,64820720,0,40,0
4,1561718205.0,64820720,0,40,40
5,1561718205.0,64820720,0,3520,3240
6,1561718205.0,55426240,0,40,0
7,1561718205.0,55426240,0,40,40
8,1561718205.0,55426240,0,3520,3240
9,1561718205.0,862410880,0,40,0
10,1561718205.0,862410880,0,40,40
11,1561718205.0,862410880,0,3520,3240
12,1561718205.0,9394480,0,40,0
13,1561718205.0,9394480,0,40,40
14,1561718205.0,9394480,0,3520,3240
15,1561718210.0,55426240,1,40,40
16,1561718210.0,55426240,1,3600,3600
17,1561718210.0,65184320,234589,40,40
18,1561718210.0,65184320,234589,3600,3600
19,1561718210.0,9758080,234589,40,40
20,1561718210.0,9758080,234589,3600,3600
21,1561718210.0,61924640,1,40,40
22,1561718210.0,61924640,1,3600,3600
23,1561718210.0,56912768,1,40,40
24,1561718210.0,56912768,1,3600,3600
25,1561718210.0,62580000,531570,40,40
26,1561718210.0,62580000,531570,3600,3600
27,1561718210.0,5213691488,2173745,40,40
28,1561718210.0,5213691488,2173745,3600,3600
29,1561718210.0,62580000,1,40,40
30,1561718210.0,62580000,1,3600,3600
31,1561718210.0,65184320,1,40,40
32,1561718210.0,65184320,1,3600,3600
33,1561718210.0,46314240,0,40,40
34,1561718210.0,46314240,0,3600,3600
35,1561718210.0,64820720,0,40,40
36,1561718210.0,64820720,0,3600,3600
37,1561718210.0,55426240,0,40,40
38,1561718210.0,55426240,0,3600,3600
39,1561718215.0,9758080,1172940,40,11
40,1561718215.0,9758080,1172940,40,1
41,1561718215.0,9758080,1172940,40,6
42,1561718215.0,9758080,1172940,3600,2762
43,1561718215.0,9758080,1172940,40,9
44,1561718215.0,9758080,1172940,40,7
45,1561718215.0,9758080,1172940,40,4
46,1561718215.0,9758080,1172940,40,3
47,1561718215.0,9758080,1172940,40,5
48,1561718215.0,9758080,1172940,40,40
49,1561718215.0,9758080,1067940,40,11
50,1561718215.0,9758080,1067940,40,1
51,1561718215.0,9758080,1067940,40,6
52,1561718215.0,9758080,1067940,3600,2762
53,1561718215.0,9758080,1067940,40,9
54,1561718215.0,9758080,1067940,40,7
55,1561718215.0,9758080,1067940,40,4
56,1561718215.0,9758080,1067940,40,3
57,1561718215.0,9758080,1067940,40,5
58,1561718215.0,9758080,1067940,40,40
59,1561718215.0,0,1172940,40,11
60,1561718215.0,0,1172940,40,1
61,1561718215.0,0,1172940,40,6
62,1561718215.0,0,1172940,3600,2762
63,1561718215.0,0,1172940,40,9
64,1561718215.0,0,1172940,40,7
65,1561718215.0,0,1172940,40,4
66,1561718215.0,0,1172940,40,3
67,1561718215.0,0,1172940,40,5
68,1561718215.0,0,1172940,40,40
69,1561718215.0,0,1067940,40,11
70,1561718215.0,0,1067940,40,1
71,1561718215.0,0,1067940,40,6
72,1561718215.0,0,1067940,3600,2762
73,1561718215.0,0,1067940,40,9
74,1561718215.0,0,1067940,40,7
75,1561718215.0,0,1067940,40,4
76,1561718215.0,0,1067940,40,3
77,1561718215.0,0,1067940,40,5
78,1561718215.0,0,1067940,40,40
79,1561718215.0,0,938352,40,11
80,1561718215.0,0,938352,40,1
81,1561718215.0,0,938352,40,6
82,1561718215.0,0,938352,3600,2762
83,1561718215.0,0,938352,40,9
84,1561718215.0,0,938352,40,7
85,1561718215.0,0,938352,40,4
86,1561718215.0,0,938352,40,3
87,1561718215.0,0,938352,40,5
88,1561718215.0,0,938352,40,40
89,1561718215.0,9758080,703765,40,11
90,1561718215.0,9758080,703765,40,1
91,1561718215.0,9758080,703765,40,6
92,1561718215.0,9758080,703765,3600,2762
93,1561718215.0,9758080,703765,40,9
94,1561718215.0,9758080,703765,40,7
95,1561718215.0,9758080,703765,40,4
96,1561718215.0,9758080,703765,40,3
97,1561718215.0,9758080,703765,40,5
98,1561718215.0,9758080,703765,40,40
99,1561718215.0,2604320,711367,40,11
100,1561718215.0,2604320,711367,40,1
101,1561718215.0,2604320,711367,40,6
102,1561718215.0,2604320,711367,3600,2762
103,1561718215.0,2604320,711367,40,9
104,1561718215.0,2604320,711367,40,7
105,1561718215.0,2604320,711367,40,4
106,1561718215.0,2604320,711367,40,3
107,1561718215.0,2604320,711367,40,5
108,1561718215.0,2604320,711367,40,40
109,1561718215.0,9758080,896352,40,11
110,1561718215.0,9758080,896352,40,1
111,1561718215.0,9758080,896352,40,6
112,1561718215.0,9758080,896352,3600,2762
113,1561718215.0,9758080,896352,40,9
114,1561718215.0,9758080,896352,40,7
115,1561718215.0,9758080,896352,40,4
116,1561718215.0,9758080,896352,40,3
117,1561718215.0,9758080,896352,40,5
118,1561718215.0,9758080,896352,40,40
119,1561718215.0,0,234588,40,11
120,1561718215.0,0,234588,40,1
121,1561718215.0,0,234588,40,6
122,1561718215.0,0,234588,3600,2762
123,1561718215.0,0,234588,40,9
124,1561718215.0,0,234588,40,7
125,1561718215.0,0,234588,40,4
126,1561718215.0,0,234588,40,3
127,1561718215.0,0,234588,40,5
128,1561718215.0,0,234588,40,40
129,1561718215.0,0,703764,40,11
130,1561718215.0,0,703764,40,1
131,1561718215.0,0,703764,40,6
132,1561718215.0,0,703764,3600,2762
133,1561718215.0,0,703764,40,9
134,1561718215.0,0,703764,40,7
135,1561718215.0,0,703764,40,4
136,1561718215.0,0,703764,40,3
137,1561718215.0,0,703764,40,5
138,1561718215.0,0,703764,40,40
139,1561718215.0,0,1407528,40,11
140,1561718215.0,0,1407528,40,1
141,1561718215.0,0,1407528,40,6
142,1561718215.0,0,1407528,3600,2762
143,1561718215.0,0,1407528,40,9
144,1561718215.0,0,1407528,40,7
145,1561718215.0,0,1407528,40,4
146,1561718215.0,0,1407528,40,3
147,1561718215.0,0,1407528,40,5
148,1561718215.0,0,1407528,40,40
149,1561718215.0,0,2606076,40,11
150,1561718215.0,0,2606076,40,1
151,1561718215.0,0,2606076,40,6
152,1561718215.0,0,2606076,3600,2762
153,1561718215.0,0,2606076,40,9
154,1561718215.0,0,2606076,40,7
155,1561718215.0,0,2606076,40,4
156,1561718215.0,0,2606076,40,3
157,1561718215.0,0,2606076,40,5
158,1561718215.0,0,2606076,40,40
159,1561718215.0,9758080,1151940,40,11
160,1561718215.0,9758080,1151940,40,1
161,1561718215.0,9758080,1151940,40,6
162,1561718215.0,9758080,1151940,3600,2762
163,1561718215.0,9758080,1151940,40,9
164,1561718215.0,9758080,1151940,40,7
165,1561718215.0,9758080,1151940,40,4
166,1561718215.0,9758080,1151940,40,3
167,1561718215.0,9758080,1151940,40,5
168,1561718215.0,9758080,1151940,40,40
169,1561718215.0,2604320,1172940,40,11
170,1561718215.0,2604320,1172940,40,1
171,1561718215.0,2604320,1172940,40,6
172,1561718215.0,2604320,1172940,3600,2762
173,1561718215.0,2604320,1172940,40,9
174,1561718215.0,2604320,1172940,40,7
175,1561718215.0,2604320,1172940,40,4
176,1561718215.0,2604320,1172940,40,3
177,1561718215.0,2604320,1172940,40,5
178,1561718215.0,2604320,1172940,40,40
179,1561718215.0,9758080,710749,40,11
180,1561718215.0,9758080,710749,40,1
181,1561718215.0,9758080,710749,40,6
182,1561718215.0,9758080,710749,3600,2762
183,1561718215.0,9758080,710749,40,9
184,1561718215.0,9758080,710749,40,7
185,1561718215.0,9758080,710749,40,4
186,1561718215.0,9758080,710749,40,3
187,1561718215.0,9758080,710749,40,5
188,1561718215.0,9758080,710749,40,40
189,1561718215.0,0,896352,40,11
190,1561718215.0,0,896352,40,1
191,1561718215.0,0,896352,40,6
192,1561718215.0,0,896352,3600,2762
193,1561718215.0,0,896352,40,9
194,1561718215.0,0,896352,40,7
195,1561718215.0,0,896352,40,4
196,1561718215.0,0,896352,40,3
197,1561718215.0,0,896352,40,5
198,1561718215.0,0,896352,40,40
199,1561718215.0,0,1642116,40,11
200,1561718215.0,0,1642116,40,1
201,1561718215.0,0,1642116,40,6
202,1561718215.0,0,1642116,3600,2762
203,1561718215.0,0,1642116,40,9
204,1561718215.0,0,1642116,40,7
205,1561718215.0,0,1642116,40,4
206,1561718215.0,0,1642116,40,3
207,1561718215.0,0,1642116,40,5
208,1561718215.0,0,1642116,40,40
209,1561718215.0,9758080,213588,40,11
210,1561718215.0,9758080,213588,40,1
211,1561718215.0,9758080,213588,40,6
212,1561718215.0,9758080,213588,3600,2762
213,1561718215.0,9758080,213588,40,9
214,1561718215.0,9758080,213588,40,7
215,1561718215.0,9758080,213588,40,4
216,1561718215.0,9758080,213588,40,3
217,1561718215.0,9758080,213588,40,5
218,1561718215.0,9758080,213588,40,40
219,1561718215.0,0,1294200,40,11
220,1561718215.0,0,1294200,40,1
221,1561718215.0,0,1294200,40,6
222,1561718215.0,0,1294200,3600,2762
223,1561718215.0,0,1294200,40,9
224,1561718215.0,0,1294200,40,7
225,1561718215.0,0,1294200,40,4
226,1561718215.0,0,1294200,40,3
227,1561718215.0,0,1294200,40,5
228,1561718215.0,0,1294200,40,40
229,1561718215.0,0,854352,40,11
230,1561718215.0,0,854352,40,1
231,1561718215.0,0,854352,40,6
232,1561718215.0,0,854352,3600,2762
233,1561718215.0,0,854352,40,9
234,1561718215.0,0,854352,40,7
235,1561718215.0,0,854352,40,4
236,1561718215.0,0,854352,40,3
237,1561718215.0,0,854352,40,5
238,1561718215.0,0,854352,40,40
239,1561718215.0,626595152,64835593,40,11
240,1561718215.0,626595152,64835593,40,1
241,1561718215.0,626595152,64835593,40,6
242,1561718215.0,626595152,64835593,3600,2762
243,1561718215.0,626595152,64835593,40,9
244,1561718215.0,626595152,64835593,40,7
245,1561718215.0,626595152,64835593,40,4
246,1561718215.0,626595152,64835593,40,3
247,1561718215.0,626595152,64835593,40,5
248,1561718215.0,626595152,64835593,40,40
249,1561718215.0,2604320,703764,40,11
250,1561718215.0,2604320,703764,40,1
251,1561718215.0,2604320,703764,40,6
252,1561718215.0,2604320,703764,3600,2762
253,1561718215.0,2604320,703764,40,9
254,1561718215.0,2604320,703764,40,7
255,1561718215.0,2604320,703764,40,4
256,1561718215.0,2604320,703764,40,3
257,1561718215.0,2604320,703764,40,5
258,1561718215.0,2604320,703764,40,40
259,1561718215.0,3259680,473832,40,11
260,1561718215.0,3259680,473832,40,1
261,1561718215.0,3259680,473832,40,6
262,1561718215.0,3259680,473832,3600,2762
263,1561718215.0,3259680,473832,40,9
264,1561718215.0,3259680,473832,40,7
265,1561718215.0,3259680,473832,40,4
266,1561718215.0,3259680,473832,40,3
267,1561718215.0,3259680,473832,40,5
268,1561718215.0,3259680,473832,40,40
269,1561718215.0,0,1116276,40,11
270,1561718215.0,0,1116276,40,1
271,1561718215.0,0,1116276,40,6
272,1561718215.0,0,1116276,3600,2762
273,1561718215.0,0,1116276,40,9
274,1561718215.0,0,1116276,40,7
275,1561718215.0,0,1116276,40,4
276,1561718215.0,0,1116276,40,3
277,1561718215.0,0,1116276,40,5
278,1561718215.0,0,1116276,40,40
279,1561718215.0,9758080,640764,40,11
280,1561718215.0,9758080,640764,40,1
281,1561718215.0,9758080,640764,40,6
282,1561718215.0,9758080,640764,3600,2762
283,1561718215.0,9758080,640764,40,9
284,1561718215.0,9758080,640764,40,7
285,1561718215.0,9758080,640764,40,4
286,1561718215.0,9758080,640764,40,3
287,1561718215.0,9758080,640764,40,5
288,1561718215.0,9758080,640764,40,40
289,1561718215.0,9758080,490177,40,11
