job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw
5168,3020948878,read,seq,1047122.6613518198,1,54926343.236363634
5168,5242880997,read,seq,5221993.024900398,1,1048576199.4
5168,10485761994,read,seq,5221993.024900398,1,1048576199.4
5168,10485760317,read,seq,10443984.379482072,1,2097152063.4
5168,20971520634,read,seq,10443984.379482072,1,2097152063.4
5168,3054501888,write,seq,1048576.0,1,610900377.6
5168,2296381440,write,seq,10485760.0,1,459276288.0
5168,7361003520,write,seq,10485760.0,1,736100352.0
5168,2401239040,write,seq,10485760.0,1,480247808.0
5168,7381975040,write,seq,10485760.0,1,738197504.0
5168,11481907200,write,seq,10485760.0,1,328054491.4285714
5169,3103789313,read,seq,1045046.9067340067,1,56432532.96363636
5169,5242880997,read,seq,5221993.024900398,1,1048576199.4
5169,10485761994,read,seq,5221993.024900398,1,1048576199.4
5169,10485760317,read,seq,10443984.379482072,1,2097152063.4
5169,20971520634,read,seq,10443984.379482072,1,2097152063.4
5169,3107979264,write,seq,1048576.0,1,310797926.4
5169,1562378240,write,seq,10485760.0,1,312475648.0
5169,11104419840,write,seq,10485760.0,1,740294656.0
5169,10747904000,write,seq,10485760.0,1,1074790400.0
5169,4194304000,write,seq,10485760.0,1,838860800.0
5169,3848273920,write,seq,10485760.0,1,384827392.0
5170,3133147221,read,seq,1046475.3577154309,1,62662944.42
5170,10852764223,read,seq,5217675.107211539,1,2170552844.6
5170,4875878768,read,seq,5231629.5793991415,1,975175753.6
5170,31457280951,read,seq,10443984.379482072,1,3145728095.1
5170,3145728000,write,seq,1048576.0,1,314572800.0
5170,4812963840,write,seq,10485760.0,1,962592768.0
5170,1038090240,write,uncl,10485760.0,1,207618048.0
5170,21841838080,write,seq,10485760.0,1,1092091904.0
5170,3145728000,write,seq,10485760.0,1,629145600.0
5173,3068137018,read,seq,1045718.1383776414,1,43830528.828571424
5173,5242880997,read,seq,5221993.024900398,1,1048576199.4
5173,10485761994,read,seq,5221993.024900398,1,2097152398.8
5173,1677721891,read,seq,10356307.969135802,1,335544378.2
5173,26528973434,read,seq,10452708.208825847,1,5305794686.8
5173,3250585626,read,seq,10418543.673076924,1,650117125.2
5173,3011510272,write,seq,1048576.0,1,602302054.4
5173,1048576000,write,seq,10485760.0,1,209715200.0
5173,11072962560,write,seq,10485760.0,1,738197504.0
5173,14984151040,write,seq,10485760.0,1,998943402.6666666
5173,2506096640,write,seq,10485760.0,1,250609664.0
5173,838860800,write,seq,10485760.0,1,167772160.0
5174,3145733064,read,seq,1044400.0876494024,1,44939043.77142857
5174,15728642991,read,seq,5221993.024900398,1,3145728598.2
5174,31457280951,read,seq,10443984.379482072,1,3145728095.1
5174,3145728000,write,seq,1048576.0,1,629145600.0
5174,6291456000,write,seq,10485760.0,1,629145600.0
5174,21338521600,write,seq,10485760.0,1,1066926080.0
5174,2883584000,write,seq,10485760.0,1,576716800.0
5175,3068137018,read,seq,1045718.1383776414,1,47202107.96923077
5175,5242880997,read,seq,5221993.024900398,1,1048576199.4
5175,10485761994,read,seq,5221993.024900398,1,2097152398.8
5175,1677721891,read,seq,10356307.969135802,1,335544378.2
5175,26539459194,read,seq,10452721.226467114,1,5307891838.8
5175,3240099866,read,seq,10418327.54340836,1,648019973.2
5175,1048576000,write,seq,1048576.0,1,209715200.0
5175,1946157056,write,seq,1048576.0,1,389231411.2
5175,901775360,write,seq,10485760.0,1,180355072.0
5175,1080033280,write,uncl,10485760.0,1,216006656.0
5175,1897922560,write,seq,10485760.0,1,379584512.0
5175,2558525440,write,seq,10485760.0,1,511705088.0
5175,13610516480,write,seq,10485760.0,1,907367765.3333334
5175,3439329280,write,seq,10485760.0,1,687865856.0
5175,1835008000,write,seq,10485760.0,1,367001600.0
5175,2464153600,write,seq,10485760.0,1,492830720.0
5175,1646264320,write,seq,10485760.0,1,329252864.0
5175,891289600,write,seq,10485760.0,1,178257920.0
5182,3145733394,read,seq,1044400.1972111554,1,629146678.8
5182,15728643189,read,seq,5221993.09063745,1,3145728637.8
5182,20289946539,read,seq,10453347.00618238,1,4057989307.8
5182,11167334478,read,seq,10427016.31932773,1,2233466895.6
5182,2782920704,write,seq,1048576.0,1,278292070.4
5182,2348810240,write,seq,10485760.0,1,469762048.0
5182,3575644160,write,seq,10485760.0,1,715128832.0
5182,3124756480,write,seq,10485760.0,1,312475648.0
5182,20877148160,write,seq,10485760.0,1,835085926.4
5182,859832320,write,uncl,10485760.0,1,171966464.0
5183,3145733394,read,seq,1044400.1972111554,1,629146678.8
5183,15728643189,read,seq,5221993.09063745,1,3145728637.8
5183,31457281017,read,seq,10443984.401394423,1,6291456203.4
5183,2981101568,write,seq,1048576.0,1,198740104.53333333
5183,5484052480,write,seq,10485760.0,1,548405248.0
5183,1384120320,write,seq,10485760.0,1,276824064.0
5183,24274534400,write,seq,10485760.0,1,809151146.6666667
5184,3145733394,read,seq,1044400.1972111554,1,629146678.8
5184,15728643189,read,seq,5221993.09063745,1,3145728637.8
5184,9930015659,read,seq,10419743.608604407,1,1986003131.8
5184,21527265358,read,seq,10455204.156386595,1,4305453071.6
5184,2000683008,write,seq,1048576.0,1,400136601.6
5184,3303014400,write,seq,10485760.0,1,660602880.0
5184,26109542400,write,seq,10485760.0,1,745986925.7142857
5192,3145733394,read,seq,1044400.1972111554,1,314573339.4
5192,15728643189,read,seq,5221993.09063745,1,3145728637.8
5192,8965325739,read,seq,10412689.592334494,1,1793065147.8
5192,22491955278,read,seq,10456511.054393305,1,4498391055.6
5192,3092250624,write,seq,1048576.0,1,618450124.8
5192,29905387520,write,seq,10485760.0,1,996846250.6666666
5192,1551892480,write,seq,10485760.0,1,310378496.0
5193,3145733394,read,seq,1044400.1972111554,1,314573339.4
5193,15728643189,read,seq,5221993.09063745,1,3145728637.8
5193,9699328939,read,seq,10418183.607948443,1,1939865787.8
5193,21757952078,read,seq,10455527.187890437,1,4351590415.6
5193,3115319296,write,seq,1048576.0,1,623063859.2
5193,29758586880,write,seq,10485760.0,1,991952896.0
5193,1698693120,write,seq,10485760.0,1,339738624.0
5194,6457,read,uncl,379.8235294117647,1,1291.4
5194,4639,read,uncl,463.9,1,927.8
5194,755,read,uncl,377.5,1,151.0
5194,2126,read,uncl,265.75,1,425.2
5194,673,read,uncl,336.5,1,134.6
5194,1068,read,uncl,106.8,1,213.6
5281,21827161268,read,seq,1048173.3225124856,1,4365432253.6
5281,18055431346,read,seq,1048332.5405562329,1,1805543134.6
5281,96379864078,read,stride,5241739.494099092,1,19275972815.6
5281,7796163184,read,stride,5228815.012743126,1,1559232636.8
5281,31546408960,read,stride,5242880.0,1,6309281792.0
5281,20882391352,read,stride,5240248.77089084,1,4176478270.4
5281,43757076480,read,stride,5242880.0,1,8751415296.0
5281,8671723832,read,stride,5236548.207729469,1,1734344766.4
5281,20971520522,read,seq,10443984.32370518,1,4194304104.4
5281,10485760261,read,seq,10443984.32370518,1,2097152052.2
5281,10485760261,read,seq,10443984.32370518,1,2097152052.2
5281,1758617600,write,seq,102400.0,1,351723520.0
5281,1546649600,write,stride,1048576.0,1,309329920.0
5281,25443696640,write,stride,1048576.0,1,508873932.8
5281,7262437376,write,stride,1048576.0,1,363121868.8
5281,24788336640,write,seq,10485760.0,1,619708416.0
5281,10349445120,write,seq,10485760.0,1,413977804.8
5282,41263565156,read,seq,1048362.9358739838,1,4126356515.6
5282,195821568000,read,stride,5242880.0,1,39164313600.0
5282,41943041044,read,seq,10443984.32370518,1,8388608208.8
5282,1523507200,write,seq,102400.0,1,304701440.0
5282,13324255232,write,stride,1048576.0,1,380693006.6285714
5282,20993540096,write,stride,1048576.0,1,524838502.4
5282,11366563840,write,seq,10485760.0,1,568328192.0
5282,26560430080,write,seq,10485760.0,1,482916910.5454545
5283,5429529780,read,seq,1046959.0782876976,1,1085905956.0
5283,25813843968,read,seq,1048576.0,1,5162768793.6
5283,8639218866,read,seq,1048067.3135994177,1,1727843773.2
5283,97795441678,read,stride,5241755.999249611,1,19559088335.6
5283,6364856944,read,stride,5225662.515599343,1,1272971388.8
5283,31551651840,read,stride,5242880.0,1,6310330368.0
5283,20877148472,read,stride,5240248.110441767,1,4175429694.4
5283,43882905600,read,stride,5242880.0,1,8776581120.0
5283,8545894712,read,stride,5236455.093137255,1,1709178942.4
5283,20971520522,read,seq,10443984.32370518,1,4194304104.4
5283,10485760261,read,seq,10443984.32370518,1,2097152052.2
5283,10485760261,read,seq,10443984.32370518,1,2097152052.2
5283,3316121600,write,seq,102400.0,1,331612160.0
5283,1231028224,write,stride,1048576.0,1,246205644.8
5283,6602883072,write,stride,1048576.0,1,330144153.6
