,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount,event_type,event_message
0,1657198900.0,2194490355,4149,12,12,notice,Job starting
1,1657198905.0,0,0,12,0,,
2,1657198910.0,0,0,12,0,,
3,1657198915.0,0,0,12,0,,
4,1657198920.0,0,0,12,0,,
5,1657198925.0,0,0,12,0,,
6,1657198930.0,0,181,13,1,custom,Start IO phase
7,1657198935.0,0,0,12,0,,
8,1657198940.0,0,0,12,0,,
9,1657198945.0,0,0,12,0,,
10,1657198950.0,12,1019483936,13,8,custom,Start IO phase
10,1657198950.0,12,1019483936,13,8,custom,End IO phase
11,1657198955.0,0,708454176,12,6,,
12,1657198960.0,0,0,12,0,,
13,1657198965.0,12,518381758,13,4,custom,Start IO phase
13,1657198965.0,12,518381758,13,4,custom,End IO phase
14,1657198970.0,0,1099086292,12,7,,
15,1657198975.0,0,110469788,12,2,,
16,1657198980.0,0,0,12,0,,
17,1657198985.0,12,1486026742,13,11,custom,Start IO phase
17,1657198985.0,12,1486026742,13,11,custom,End IO phase
18,1657198990.0,0,241911096,12,2,,
19,1657198995.0,0,0,12,0,,
20,1657199000.0,12,103676740,13,2,custom,Start IO phase
20,1657199000.0,12,103676740,13,2,custom,End IO phase
21,1657199005.0,0,1624261365,13,12,custom,Start IO phase
21,1657199005.0,0,1624261365,13,12,custom,End IO phase
22,1657199010.0,0,1382349896,12,12,,
