,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount,event_type,event_message
0,1657199020.0,2194490355,4149,12,12,notice,Job starting
1,1657199025.0,0,0,12,0,,
2,1657199030.0,0,0,12,0,,
3,1657199035.0,0,0,12,0,,
4,1657199040.0,0,0,12,0,,
5,1657199045.0,0,0,12,0,,
6,1657199050.0,0,181,13,1,custom,Start IO phase
7,1657199055.0,0,0,12,0,,
8,1657199060.0,0,0,12,0,,
9,1657199065.0,0,0,12,0,,
10,1657199070.0,12,874455312,13,7,custom,Start IO phase
10,1657199070.0,12,874455312,13,7,custom,End IO phase
11,1657199075.0,0,853482800,12,8,,
12,1657199080.0,0,0,12,0,,
13,1657199085.0,12,546146894,13,5,custom,Start IO phase
13,1657199085.0,12,546146894,13,5,custom,End IO phase
14,1657199090.0,0,1181790944,12,8,,
15,1657199095.0,0,0,12,0,,
16,1657199100.0,0,0,12,0,,
17,1657199105.0,12,1572423562,13,11,custom,Start IO phase
17,1657199105.0,12,1572423562,13,11,custom,End IO phase
18,1657199110.0,0,155514276,12,2,,
19,1657199115.0,0,0,12,0,,
20,1657199120.0,12,535661140,13,5,custom,Start IO phase
20,1657199120.0,12,535661140,13,5,custom,End IO phase
21,1657199125.0,0,1192276965,13,9,custom,Start IO phase
21,1657199125.0,0,1192276965,13,9,custom,End IO phase
22,1657199130.0,0,1278673712,12,11,,
23,1657199135.0,0,103676184,12,2,,
