,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1595250915.0,70991,0,2,3
1,1595250920.0,5881936,12021,66,97
2,1595250925.0,24098313,77226,66,368
3,1595250930.0,27575180,18438268,66,86
4,1595250935.0,116094859,7262469,18,17
5,1595250940.0,0,0,18,0
6,1595250945.0,0,4632296,18,17
7,1595250950.0,0,0,18,0
8,1595250955.0,0,34411262,18,17
9,1595250960.0,0,173580631,18,17
10,1595250965.0,0,1357382405,18,17
11,1595250970.0,0,271645451,18,17
12,1595250975.0,0,1134586,18,17
13,1595250980.0,0,1010179,18,17
14,1595250985.0,0,399610,18,17
15,1595250990.0,0,1271740,18,17
16,1595250995.0,0,131802,18,17
17,1595251000.0,0,0,18,0
18,1595251005.0,0,741179,18,17
19,1595251010.0,0,1271133,18,17
20,1595251015.0,0,399417,18,17
21,1595251020.0,0,616823,18,17
22,1595251025.0,0,86592,18,1
23,1595251030.0,0,7220,18,1
24,1595251035.0,0,0,18,0
25,1595251040.0,0,85543,18,2
26,1595251045.0,0,7122,18,1
27,1595251050.0,0,92720,18,1
28,1595251055.0,0,86967,18,2
29,1595251060.0,0,92430,18,1
30,1595251065.0,0,7264,18,1
31,1595251070.0,0,148,18,1
32,1595251075.0,0,0,18,0
33,1595251080.0,0,92473,18,2
34,1595251085.0,0,86882,18,1
35,1595251090.0,0,92515,18,2
36,1595251095.0,0,7412,18,1
37,1595251100.0,0,92074,18,1
38,1595251105.0,0,838,18,1
39,1595251110.0,0,0,18,0
40,1595251115.0,0,109568,18,2
41,1595251120.0,0,172140116,18,8
42,1595251125.0,0,1626541917,18,17
43,1595251130.0,0,536882120,18,2
44,1595251135.0,0,0,18,0
45,1595251140.0,0,536882120,18,2
46,1595251145.0,0,1610646360,18,6
47,1595251150.0,0,0,18,0
48,1595251155.0,0,0,18,0
49,1595251160.0,0,1610646360,18,6
