,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1595503860.0,4592950,13,66,67
1,1595503865.0,19147972,66,66,325
2,1595503870.0,27404513,18045335,66,134
3,1595503875.0,122392288,441340,23,39
4,1595503880.0,186256,7261957,18,17
5,1595503885.0,0,4100620,18,1
6,1595503890.0,0,523996,18,17
7,1595503895.0,0,33124211,18,17
8,1595503900.0,0,739803,18,17
9,1595503905.0,0,1357153,18,17
10,1595503910.0,0,1259076943,18,17
11,1595503915.0,0,542721639,18,17
12,1595503920.0,0,872465,18,17
13,1595503925.0,0,1009232,18,17
14,1595503930.0,0,531503,18,17
15,1595503935.0,0,872332,18,17
16,1595503940.0,0,662385,18,17
17,1595503945.0,0,0,18,0
18,1595503950.0,0,393024,18,17
19,1595503955.0,0,747167,18,17
20,1595503960.0,0,872603,18,17
21,1595503965.0,0,1008890,18,17
22,1595503970.0,0,6930,18,1
23,1595503975.0,0,86338,18,1
24,1595503980.0,0,7264,18,1
25,1595503985.0,0,148,18,1
26,1595503990.0,0,0,18,0
27,1595503995.0,0,92473,18,2
28,1595504000.0,0,86820,18,1
29,1595504005.0,0,92221,18,2
30,1595504010.0,0,6930,18,1
31,1595504015.0,0,86882,18,1
32,1595504020.0,0,6868,18,1
33,1595504025.0,0,0,18,0
34,1595504030.0,0,85899,18,2
35,1595504035.0,0,7412,18,1
36,1595504040.0,0,92074,18,1
37,1595504045.0,0,86677,18,2
38,1595504050.0,0,92276,18,1
39,1595504055.0,0,7018,18,1
40,1595504060.0,0,838,18,1
41,1595504065.0,0,0,18,0
42,1595504070.0,0,109568,18,2
43,1595504075.0,0,36605478,18,8
44,1595504080.0,0,1762076555,18,17
45,1595504085.0,0,2415969540,18,9
46,1595504090.0,0,0,18,0
47,1595504095.0,0,0,18,0
48,1595504100.0,0,0,18,0
49,1595504105.0,0,268441060,18,1
50,1595504110.0,0,536882120,18,2
51,1595504115.0,0,0,18,0
52,1595504120.0,0,536882120,18,2
53,1595504125.0,0,536882120,18,2
54,1595504130.0,0,0,18,0
55,1595504135.0,0,0,18,0
56,1595504140.0,0,0,18,0
57,1595504145.0,0,0,18,0
58,1595504150.0,0,0,18,0
59,1595504155.0,0,0,18,0
60,1595504160.0,0,0,18,0
61,1595504165.0,0,0,18,0
62,1595504170.0,0,0,18,0
63,1595504175.0,0,0,18,0
