,timestamp,bytesRead,bytesWritten,operationRead,operationWrite,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,event_type,event_message
0,1665402060.0,6105,6,17,1,0,0,0,17,0,0,0,1,notice,Job starting
1,1665402065.0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1665402070.0,82840435,0,85,0,0,0,0,85,0,0,0,0,custom,start load param1
3,1665402075.0,551550976,0,526,0,0,440,0,86,0,0,0,0,,
4,1665402080.0,277872640,0,265,0,0,240,0,25,0,0,0,0,,
5,1665402085.0,278921216,0,266,0,0,240,0,26,0,0,0,0,,
6,1665402090.0,275775488,0,263,0,0,200,0,63,0,0,0,0,,
7,1665402095.0,266338304,0,254,0,0,200,0,54,0,0,0,0,,
8,1665402100.0,273678336,0,261,0,0,200,0,61,0,0,0,0,,
9,1665402105.0,244318208,0,233,0,0,120,0,113,0,0,0,0,,
10,1665402110.0,260046848,0,248,0,0,200,0,48,0,0,0,0,,
11,1665402115.0,222298823,0,214,0,0,160,0,54,0,0,0,0,custom,end load param1
12,1665402120.0,198180864,0,189,0,0,160,0,29,0,0,0,0,,
13,1665402125.0,171967175,0,166,0,0,120,0,46,0,0,0,0,custom,end load param1
14,1665402130.0,41943751,0,42,0,0,40,0,2,0,0,0,0,custom,end load param1
15,1665402135.0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,1665402140.0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,1665402145.0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,1665402150.0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,1665402155.0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,1665402160.0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,1665402165.0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,1665402170.0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,1665402175.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param2
23,1665402175.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param2
