,timestamp,bytesRead,bytesWritten,operationRead,operationWrite,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,event_type,event_message
0,1665402065.0,6105,6,17,1,0,0,0,17,0,0,0,1,notice,Job starting
1,1665402070.0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1665402075.0,634391411,0,611,0,0,520,0,91,0,0,0,0,custom,start load param1
3,1665402080.0,277872640,0,265,0,0,240,0,25,0,0,0,0,,
4,1665402085.0,278921216,0,266,0,0,240,0,26,0,0,0,0,,
5,1665402090.0,275775488,0,263,0,0,200,0,63,0,0,0,0,,
6,1665402095.0,266338304,0,254,0,0,200,0,54,0,0,0,0,,
7,1665402100.0,273678336,0,261,0,0,200,0,61,0,0,0,0,,
8,1665402105.0,244318208,0,233,0,0,120,0,113,0,0,0,0,,
9,1665402110.0,260046848,0,248,0,0,200,0,48,0,0,0,0,,
10,1665402115.0,222298823,0,214,0,0,160,0,54,0,0,0,0,custom,end load param1
11,1665402120.0,198180864,0,189,0,0,160,0,29,0,0,0,0,,
12,1665402125.0,171967175,0,166,0,0,120,0,46,0,0,0,0,custom,end load param1
13,1665402130.0,41943751,0,42,0,0,40,0,2,0,0,0,0,custom,end load param1
14,1665402135.0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,1665402140.0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,1665402145.0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,1665402150.0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,1665402155.0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,1665402160.0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,1665402165.0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,1665402170.0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,1665402175.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param2
22,1665402175.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param2
23,1665402180.0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,1665402185.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param2
24,1665402185.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param2
25,1665402190.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param2
25,1665402190.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param2
26,1665402195.0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,1665402200.0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,1665402205.0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,1665402210.0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,1665402215.0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,1665402220.0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,1665402225.0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,1665402230.0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,1665402235.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param3
34,1665402235.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param3
35,1665402240.0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,1665402245.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param3
36,1665402245.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param3
37,1665402250.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param3
37,1665402250.0,10485760317,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param3
38,1665402255.0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,1665402260.0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,1665402265.0,0,307200000,0,3000,0,0,0,0,0,3000,0,0,custom,start checkpoint small
41,1665402270.0,126,0,3,0,0,0,0,3,0,0,0,0,custom,end checkpoint small
42,1665402275.0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,1665402280.0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,1665402285.0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,1665402290.0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,1665402295.0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,1665402300.0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,1665402305.0,0,0,0,0,0,0,0,0,0,0,0,0,,
49,1665402310.0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,1665402315.0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,1665402320.0,0,0,0,0,0,0,0,0,0,0,0,0,,
52,1665402325.0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,1665402330.0,0,0,0,0,0,0,0,0,0,0,0,0,custom,start checkpoint medium
54,1665402335.0,0,0,0,0,0,0,0,0,0,0,0,0,,
