,timestamp,bytesRead,bytesWritten,operationRead,operationWrite,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,event_type,event_message
0,1665573370.0,7975,48,21,2,0,0,0,21,0,0,0,2,notice,Job starting
1,1665573375.0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1665573380.0,679480500,0,656,0,0,560,0,96,0,0,0,0,custom,start load param1
3,1665573385.0,21074280448,0,20098,0,0,20000,0,98,0,0,0,0,,
4,1665573390.0,20189284708,0,19262,0,0,19160,0,102,0,0,0,0,custom,end load param1
5,1665573395.0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1665573400.0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1665573405.0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1665573410.0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1665573415.0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,1665573420.0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,1665573425.0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,1665573430.0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,1665573435.0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,1665573440.0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,1665573445.0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,1665573450.0,5950670876,0,1143,0,0,0,1080,63,0,0,0,0,custom,start load param2
17,1665573455.0,195821568000,0,37350,0,0,0,37240,110,0,0,0,0,,
18,1665573460.0,7942964448,0,1523,0,0,0,1440,83,0,0,0,0,custom,end param2
19,1665573465.0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,1665573470.0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,1665573475.0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,1665573480.0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,1665573485.0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,1665573490.0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,1665573495.0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,1665573500.0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,1665573505.0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,1665573510.0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,1665573515.0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,1665573520.0,41943041044,0,4016,0,0,4000,0,16,0,0,0,0,custom,start load param3
30,1665573520.0,41943041044,0,4016,0,0,4000,0,16,0,0,0,0,custom,end param3
31,1665573525.0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,1665573530.0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,1665573535.0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,1665573540.0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,1665573545.0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,1665573550.0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,1665573555.0,0,0,0,0,0,0,0,0,0,0,0,0,,
38,1665573560.0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,1665573565.0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,1665573570.0,0,0,0,0,0,0,0,0,0,0,0,0,,
41,1665573575.0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,1665573580.0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,1665573585.0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,1665573590.0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,1665573595.0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,1665573600.0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,1665573605.0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,1665573610.0,0,2048000,0,20,0,0,0,0,0,0,0,20,custom,start checkpoint small
49,1665573615.0,0,124928000,0,1220,0,0,0,0,0,1160,0,60,,
50,1665573620.0,0,1355878400,0,13241,0,0,0,0,0,13120,0,121,,
51,1665573625.0,0,1089638400,0,10641,0,0,0,0,0,10560,0,81,,
52,1665573630.0,168,1523507200,4,14878,0,0,0,4,0,14840,0,38,custom,end checkpoint small
53,1665573635.0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,1665573640.0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,1665573645.0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,1665573650.0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,1665573655.0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,1665573660.0,0,0,0,0,0,0,0,0,0,0,0,0,,
59,1665573665.0,0,0,0,0,0,0,0,0,0,0,0,0,,
60,1665573670.0,0,0,0,0,0,0,0,0,0,0,0,0,,
61,1665573675.0,0,0,0,0,0,0,0,0,0,0,0,0,,
62,1665573680.0,0,0,0,0,0,0,0,0,0,0,0,0,,
63,1665573685.0,0,0,0,0,0,0,0,0,0,0,0,0,,
64,1665573690.0,0,249561088,0,238,0,0,0,0,0,0,160,78,custom,start checkpoint medium
65,1665573695.0,0,281018368,0,268,0,0,0,0,0,0,160,108,,
66,1665573700.0,0,1009778688,0,963,0,0,0,0,0,0,840,123,,
67,1665573705.0,0,1164967936,0,1111,0,0,0,0,0,0,960,151,,
