,dataset,jobid,timeserie,signal_length,n_brkpts,kernel,computation_time,loss
26,dataset_oth_db,1489,bytesRead,385,2,linear,0.0195620059967041,1409961065509.5557
27,dataset_oth_db,1489,bytesRead,385,3,rbf,0.021071910858154297,5.771113009065289
28,dataset_oth_db,1336,bytesWritten,1555,6,linear,0.20273160934448242,2.3759635805473917e+17
29,dataset_oth_db,1336,bytesWritten,1555,6,rbf,0.3348054885864258,44.92428974973801
30,dataset_oth_db,1336,bytesRead,1555,26,linear,0.20503497123718262,372135890267270.56
31,dataset_oth_db,1336,bytesRead,1555,30,rbf,0.32724452018737793,258.4504025708346
32,dataset_oth_db,1330,bytesWritten,1552,6,linear,0.20203351974487305,2.6506591746856813e+17
33,dataset_oth_db,1330,bytesWritten,1552,6,rbf,0.33146095275878906,63.239115226114976
34,dataset_oth_db,1330,bytesRead,1552,24,linear,0.20199966430664062,355594963587618.1
35,dataset_oth_db,1330,bytesRead,1552,27,rbf,0.32741308212280273,247.8920131055553
36,dataset_oth_db,1272,bytesWritten,388,6,linear,0.020055770874023438,2.9152155391961226e+18
37,dataset_oth_db,1272,bytesWritten,388,6,rbf,0.022589683532714844,16.58707381841378
38,dataset_oth_db,1272,bytesRead,388,7,linear,0.020147085189819336,97643385384155.12
39,dataset_oth_db,1272,bytesRead,388,7,rbf,0.0207977294921875,65.15502262205041
40,dataset_mat_db,22557,bytesWritten,69,5,linear,0.003814697265625,6.397200773980869e+16
41,dataset_mat_db,22557,bytesWritten,69,4,rbf,0.002645254135131836,19.77208166112623
42,dataset_mat_db,22557,bytesRead,69,2,linear,0.003831148147583008,5.497558138886569e+17
43,dataset_mat_db,22557,bytesRead,69,3,rbf,0.002500295639038086,2.6268604738024033
44,dataset_mat_db,6000,bytesWritten,97,6,linear,0.004584550857543945,3.0022617017870656e+17
45,dataset_mat_db,6000,bytesWritten,97,9,rbf,0.003345489501953125,31.863102817498845
46,dataset_mat_db,6000,bytesRead,97,9,linear,0.004673480987548828,1.497954493612753e+19
47,dataset_mat_db,6000,bytesRead,97,4,rbf,0.003214120864868164,30.54596890745153
48,dataset_mat_db,22658,bytesWritten,69,5,linear,0.003798961639404297,6.574344377040363e+16
49,dataset_mat_db,22658,bytesWritten,69,4,rbf,0.002639293670654297,16.637195955879683
50,dataset_mat_db,22658,bytesRead,69,2,linear,0.0038213729858398438,5.4975581388833376e+17
51,dataset_mat_db,22658,bytesRead,69,8,rbf,0.0025207996368408203,2.5771096425482485
52,dataset_mat_db,6970,bytesWritten,1506,38,linear,0.19184660911560059,9.058965923708156e+19
53,dataset_mat_db,6970,bytesWritten,1506,38,rbf,0.3213381767272949,619.930232438352
54,dataset_mat_db,6970,bytesRead,1506,14,linear,0.18811798095703125,1.562046941247414e+20
55,dataset_mat_db,6970,bytesRead,1506,38,rbf,0.3038060665130615,54.31658404759931
56,dataset_mat_db,6382,bytesWritten,156,7,linear,0.007578611373901367,4.0650301013557985e+18
57,dataset_mat_db,6382,bytesWritten,156,8,rbf,0.00578761100769043,60.39401176271823
58,dataset_mat_db,6382,bytesRead,156,9,linear,0.007452726364135742,7.835538051555114e+18
59,dataset_mat_db,6382,bytesRead,156,9,rbf,0.005460262298583984,6.402973441367295
60,dataset_mat_db,5969,bytesWritten,84,6,linear,0.004608631134033203,7.026672557120162e+18
61,dataset_mat_db,5969,bytesWritten,84,9,rbf,0.0030994415283203125,24.630914681843976
62,dataset_mat_db,5969,bytesRead,84,1,linear,0.0045318603515625,8.508618372470253e+18
63,dataset_mat_db,5969,bytesRead,84,6,rbf,0.0030412673950195312,22.1435940378347
64,dataset_mat_db,5932,bytesWritten,34,2,linear,0.0022034645080566406,1.370875495557628e+18
65,dataset_mat_db,5932,bytesWritten,34,5,rbf,0.0015490055084228516,13.638040810998016
66,dataset_mat_db,5932,bytesRead,34,5,linear,0.0021479129791259766,6.913285069119331e+18
67,dataset_mat_db,5932,bytesRead,34,5,rbf,0.0015513896942138672,13.744548406192925
68,dataset_mat_db,22578,bytesWritten,69,5,linear,0.0038552284240722656,1.3006250246111458e+17
69,dataset_mat_db,22578,bytesWritten,69,4,rbf,0.0025920867919921875,17.685476941987247
70,dataset_mat_db,22578,bytesRead,69,2,linear,0.003810405731201172,5.497558138886567e+17
71,dataset_mat_db,22578,bytesRead,69,3,rbf,0.002508401870727539,2.626860473802397
72,dataset_mat_db,6308,bytesWritten,172,1,linear,0.008409500122070312,5.208421506438382e+17
73,dataset_mat_db,6308,bytesWritten,172,13,rbf,0.006352424621582031,8.502475103875604
74,dataset_mat_db,6308,bytesRead,172,13,linear,0.008550882339477539,3.962891015602549e+17
75,dataset_mat_db,6308,bytesRead,172,13,rbf,0.0062444210052490234,10.424336545859278
76,dataset_mat_db,6376,bytesWritten,156,7,linear,0.0074443817138671875,2.8270357009828966e+18
77,dataset_mat_db,6376,bytesWritten,156,8,rbf,0.0057904720306396484,53.75581368478551
78,dataset_mat_db,6376,bytesRead,156,9,linear,0.007433414459228516,9.088316887682498e+18
79,dataset_mat_db,6376,bytesRead,156,9,rbf,0.0054700374603271484,6.402973441367295
80,dataset_mat_db,22624,bytesWritten,69,5,linear,0.003832101821899414,1.084141253645803e+17
81,dataset_mat_db,22624,bytesWritten,69,4,rbf,0.0026433467864990234,20.56934210928944
82,dataset_mat_db,22624,bytesRead,69,2,linear,0.003789663314819336,5.4975581388833376e+17
83,dataset_mat_db,22624,bytesRead,69,8,rbf,0.002533435821533203,2.5771096425482485
84,dataset_mat_db,6264,bytesWritten,171,1,linear,0.008388280868530273,5.862314550348867e+17
85,dataset_mat_db,6264,bytesWritten,171,13,rbf,0.0062694549560546875,8.492524937624772
86,dataset_mat_db,6264,bytesRead,171,13,linear,0.008294105529785156,258480.5
87,dataset_mat_db,6264,bytesRead,171,1,rbf,0.006038665771484375,2.6716279301397208
88,dataset_genji_IOI_BD260919,507740,bytesWritten,17,2,linear,0.0017015933990478516,42356.0
89,dataset_genji_IOI_BD260919,507740,bytesWritten,17,2,rbf,0.0013248920440673828,2.11940199500998
90,dataset_genji_IOI_BD260919,507740,bytesRead,17,4,linear,0.0016813278198242188,4.564359947998165e+16
91,dataset_genji_IOI_BD260919,507740,bytesRead,17,4,rbf,0.0013003349304199219,1.604542142732976
92,dataset_genji_IOI_BD260919,507738,bytesWritten,18,2,linear,0.0017118453979492188,42356.0
93,dataset_genji_IOI_BD260919,507738,bytesWritten,18,2,rbf,0.0013306140899658203,2.1293521612608117
94,dataset_genji_IOI_BD260919,507738,bytesRead,18,2,linear,0.0017151832580566406,8.27073158476519e+16
95,dataset_genji_IOI_BD260919,507738,bytesRead,18,4,rbf,0.0013120174407958984,1.6646065679392106
96,dataset_genji_IOI_BD260919,542439,bytesWritten,21729,18,linear,82.63654732704163,1.0213454840147532e+19
97,dataset_genji_IOI_BD260919,542439,bytesWritten,21729,16,rbf,120.71259188652039,7303.553578008158
98,dataset_genji_IOI_BD260919,542439,bytesRead,21729,28,linear,81.92637586593628,7.913208027195317e+19
99,dataset_genji_IOI_BD260919,542439,bytesRead,21729,18,rbf,124.13827896118164,2550.2285485879675
100,dataset_genji_IOI_BD260919,465155,bytesWritten,107,10,linear,0.005439281463623047,0.0
101,dataset_genji_IOI_BD260919,465155,bytesWritten,107,10,rbf,0.003787517547607422,0.9552159600798602
102,dataset_genji_IOI_BD260919,465155,bytesRead,107,2,linear,0.005330085754394531,1126677620.0
103,dataset_genji_IOI_BD260919,465155,bytesRead,107,2,rbf,0.003594636917114258,3.0149169575848447
104,dataset_genji_IOI_BD260919,480598,bytesWritten,38,3,linear,0.002666950225830078,3.28181655917802e+16
105,dataset_genji_IOI_BD260919,480598,bytesWritten,38,6,rbf,0.0018281936645507812,4.820605160615435
106,dataset_genji_IOI_BD260919,480598,bytesRead,38,2,linear,0.0026416778564453125,4122895786352227.0
107,dataset_genji_IOI_BD260919,480598,bytesRead,38,6,rbf,0.0017642974853515625,5.551472620401739
108,dataset_genji_IOI_BD260919,486693,bytesWritten,4598,13,linear,2.1013238430023193,9.997001391679182e+20
109,dataset_genji_IOI_BD260919,486693,bytesWritten,4598,37,rbf,3.666390895843506,2343.5036839670634
110,dataset_genji_IOI_BD260919,486693,bytesRead,4598,9,linear,2.074805736541748,4.1237881081340447e+18
