,dataset,file_name,jobid,timeserie,signal_length,n_cluster,change_points,computation_time
27,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4951.csv,4951,bytesRead,24,2,1,0.15480923652648926
28,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4952.csv,4952,bytesWritten,28,3,8,0.14171433448791504
29,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4952.csv,4952,bytesRead,28,2,1,0.14027047157287598
30,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4953.csv,4953,bytesWritten,28,8,12,0.13362646102905273
31,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4953.csv,4953,bytesRead,28,2,0,0.13926362991333008
32,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4954.csv,4954,bytesWritten,29,5,9,0.13390874862670898
33,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4954.csv,4954,bytesRead,29,2,0,0.14675235748291016
34,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4913.csv,4913,bytesWritten,24,2,8,0.14397144317626953
35,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4913.csv,4913,bytesRead,24,2,1,0.1374039649963379
36,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4950.csv,4950,bytesWritten,24,3,10,0.1396951675415039
37,dataset_namd,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_namd/job_4950.csv,4950,bytesRead,24,2,1,0.13778162002563477
38,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22557.csv,22557,bytesWritten,69,2,4,0.15092778205871582
39,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22557.csv,22557,bytesRead,69,2,1,0.13674426078796387
40,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6000.csv,6000,bytesWritten,97,2,37,0.15530705451965332
41,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6000.csv,6000,bytesRead,97,2,38,0.14887404441833496
42,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22658.csv,22658,bytesWritten,69,4,9,0.13938593864440918
43,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22658.csv,22658,bytesRead,69,2,1,0.1415252685546875
44,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6970.csv,6970,bytesWritten,1506,2,56,1.0557143688201904
45,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6970.csv,6970,bytesRead,1506,2,13,0.9323220252990723
