,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
28,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,63.0957344480193,0.349545955657959
29,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,1000.0,0.3484630584716797
30,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,0.001,0.5713472366333008
31,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,0.015848931924611134,0.5696053504943848
32,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,0.25118864315095796,0.5698442459106445
33,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,3.981071705534969,0.5686917304992676
34,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,63.0957344480193,0.571810245513916
35,dataset_oth_db,1391,bytesWritten,1526,136,Pelt,AR,9.716244378116124e+17,1000.0,0.5691232681274414
36,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,0.001,0.34189796447753906
37,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,0.015848931924611134,0.3389880657196045
38,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,0.25118864315095796,0.33767247200012207
39,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,3.981071705534969,0.3383781909942627
40,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,63.0957344480193,0.3341672420501709
41,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,Mala,4.271078373412321e+18,1000.0,0.3346672058105469
42,dataset_oth_db,1391,bytesWritten,1526,116,Pelt,Rank,[[-1461.23403193]],0.001,0.4550607204437256
43,dataset_oth_db,1391,bytesWritten,1526,73,Pelt,Rank,[[-1461.00279429]],0.015848931924611134,0.6202445030212402
44,dataset_oth_db,1391,bytesWritten,1526,19,Pelt,Rank,[[-1457.25836498]],0.25118864315095796,0.5633306503295898
45,dataset_oth_db,1391,bytesWritten,1526,7,Pelt,Rank,[[-1448.44046284]],3.981071705534969,0.6587929725646973
46,dataset_oth_db,1391,bytesWritten,1526,6,Pelt,Rank,[[-1435.98883189]],63.0957344480193,0.8022773265838623
47,dataset_oth_db,1391,bytesWritten,1526,0,Pelt,Rank,[[0.]],1000.0,3.6835923194885254
48,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L1,512793068846.0,0.001,0.12729501724243164
49,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L1,512793068846.0,0.015848931924611134,0.1268317699432373
50,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L1,512793068846.0,0.25118864315095796,0.12674713134765625
51,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,L1,430689527086.0,3.981071705534969,0.19243121147155762
52,dataset_oth_db,1391,bytesWritten,1526,35,Binseg,L1,430659626286.0,63.0957344480193,0.2225325107574463
53,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L2,2.8188041034413454e+20,0.001,0.08794498443603516
54,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L2,2.8188041034413454e+20,0.015848931924611134,0.08782672882080078
55,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,L2,2.8188041034413454e+20,0.25118864315095796,0.08786630630493164
56,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,L2,1.3339959516271262e+20,3.981071705534969,0.18337726593017578
57,dataset_oth_db,1391,bytesWritten,1526,64,Binseg,L2,4.2710865873613783e+18,63.0957344480193,0.33347105979919434
58,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Gauss,60084.290485897065,0.001,0.13774681091308594
59,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Gauss,60084.290485897065,0.015848931924611134,0.13731741905212402
60,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Gauss,60084.290485897065,0.25118864315095796,0.1370995044708252
61,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,Gauss,44368.99562248654,3.981071705534969,0.2622494697570801
62,dataset_oth_db,1391,bytesWritten,1526,64,Binseg,Gauss,7378.493342302155,63.0957344480193,0.5168290138244629
63,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Linear,5.424157085602278e+20,0.001,0.0741732120513916
64,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Linear,5.424157085602278e+20,0.015848931924611134,0.07385659217834473
65,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Linear,5.424157085602278e+20,0.25118864315095796,0.07384824752807617
66,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,Linear,5.424157085602278e+20,3.981071705534969,0.11510705947875977
67,dataset_oth_db,1391,bytesWritten,1526,24,Binseg,Linear,5.424157085602278e+20,63.0957344480193,0.35983753204345703
68,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Clinear,3.940364641424639e+20,0.001,0.07152986526489258
69,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Clinear,3.940364641424639e+20,0.015848931924611134,0.07115674018859863
70,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Clinear,3.940364641424639e+20,0.25118864315095796,0.07094550132751465
71,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,Clinear,3.1659465763744757e+20,3.981071705534969,0.07520318031311035
72,dataset_oth_db,1391,bytesWritten,1526,14,Binseg,Clinear,3.165945680771807e+20,63.0957344480193,0.08056855201721191
73,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,AR,3.6748575065260826e+18,0.001,0.14604949951171875
74,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,AR,3.6748575065260826e+18,0.015848931924611134,0.1452631950378418
75,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,AR,3.6748575065260826e+18,0.25118864315095796,0.14560294151306152
76,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,AR,3.1157022508259246e+18,3.981071705534969,0.26029133796691895
77,dataset_oth_db,1391,bytesWritten,1526,61,Binseg,AR,1.8331887240744346e+18,63.0957344480193,0.4564323425292969
