,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1578957735.0,346204324,11098439,17,17
1,1578957740.0,11701737903,77490124,17,15
2,1578957745.0,5539730929,130016564,16,14
3,1578957750.0,1705308020,162946867,8,6
4,1578957755.0,205166346,186505154,5,3
5,1578957760.0,386730697,180550338,5,3
6,1578957765.0,125336725,208237896,5,3
7,1578957770.0,0,149278974,4,2
8,1578957775.0,0,169188162,4,2
9,1578957780.0,0,239271954,4,2
10,1578957785.0,0,163607710,4,2
11,1578957790.0,0,184006272,4,2
12,1578957795.0,0,149257833,4,2
13,1578957800.0,0,189093898,4,2
14,1578957805.0,0,162474080,4,2
15,1578957810.0,0,132797359,4,2
16,1578957815.0,0,122607016,4,2
17,1578957820.0,0,112993502,4,2
18,1578957825.0,0,67650490,3,1
19,1578957830.0,0,46672999,3,1
20,1578957835.0,0,62032822,3,1
21,1578957840.0,0,53945798,3,1
22,1578957845.0,0,59491131,3,1
23,1578957850.0,0,81716247,3,1
24,1578957855.0,905726093,91375831,12,11
25,1578957860.0,12004101948,1176,12,10
26,1578957865.0,1510955786,336,5,3
27,1578957870.0,3626144201,5988135,14,13
28,1578957875.0,7081690479,72220819,14,12
29,1578957880.0,1230558774,128546885,5,3
30,1578957885.0,406883527,112683772,4,2
31,1578957890.0,122833742,134346434,4,2
32,1578957895.0,0,176982646,3,1
33,1578957900.0,0,148177282,3,1
34,1578957905.0,0,107245443,3,1
35,1578957910.0,0,124215830,3,1
36,1578957915.0,0,135973745,3,1
37,1578957920.0,0,117980650,3,1
38,1578957925.0,0,43,3,1
