,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1578940335.0,2314495322,60007475,17,17
1,1578940340.0,40890649385,568440496,17,15
2,1578940345.0,11464514049,1381084234,13,11
3,1578940350.0,605684291,1868042755,8,6
4,1578940355.0,0,1864889560,7,5
5,1578940360.0,0,1642296438,7,5
6,1578940365.0,0,1382419989,7,5
7,1578940370.0,0,1339665808,6,4
8,1578940375.0,0,956887726,6,4
9,1578940380.0,0,842045447,6,4
10,1578940385.0,0,1197591355,6,4
11,1578940390.0,0,1561045222,6,4
12,1578940395.0,0,970565544,6,4
13,1578940400.0,0,1198188429,6,4
14,1578940405.0,0,777357958,5,3
15,1578940410.0,0,1095522013,5,3
16,1578940415.0,0,700356097,4,2
17,1578940420.0,0,667987395,4,2
18,1578940425.0,0,595515011,4,2
19,1578940430.0,0,540467855,4,2
20,1578940435.0,0,270445193,4,2
21,1578940440.0,0,289397005,3,1
22,1578940445.0,0,158987188,3,1
23,1578940450.0,0,272504688,3,1
24,1578940455.0,0,267699262,3,1
25,1578940460.0,0,269536480,3,1
26,1578940465.0,0,277981959,3,1
27,1578940470.0,10914019917,349642160,12,11
28,1578940475.0,19527258812,1112618567,12,10
29,1578940480.0,2234935271,1178290085,7,5
30,1578940485.0,669557142,1294322613,7,5
31,1578940490.0,0,1128599803,6,4
32,1578940495.0,0,1024942279,6,4
33,1578940500.0,0,1152481608,6,4
34,1578940505.0,0,997691156,6,4
35,1578940510.0,0,1417927773,6,4
36,1578940515.0,0,1450338438,6,4
37,1578940520.0,0,1639318691,6,4
38,1578940525.0,0,1487364191,6,4
39,1578940530.0,0,1138247599,6,4
40,1578940535.0,0,1455966815,6,4
41,1578940540.0,0,1481924416,6,4
42,1578940545.0,0,1358586475,6,4
43,1578940550.0,0,716771173,4,2
44,1578940555.0,0,524996045,4,2
45,1578940560.0,0,498391524,4,2
46,1578940565.0,0,556200158,4,2
47,1578940570.0,0,280482879,4,2
48,1578940575.0,0,186745581,3,1
49,1578940580.0,0,413904654,3,1
50,1578940585.0,0,467089134,3,1
51,1578940590.0,0,534553199,3,1
52,1578940595.0,18092134940,240807233,17,16
53,1578940600.0,37502549442,668435016,17,15
54,1578940605.0,2923988745,989443477,7,5
55,1578940610.0,379368078,1277063102,7,5
56,1578940615.0,0,1552424712,6,4
57,1578940620.0,0,1282526935,6,4
58,1578940625.0,0,1498686365,6,4
59,1578940630.0,0,590862051,6,4
60,1578940635.0,0,1475700865,6,4
61,1578940640.0,0,1023561439,6,4
62,1578940645.0,0,954531860,6,4
63,1578940650.0,0,1088347666,6,4
64,1578940655.0,0,1157212246,6,4
65,1578940660.0,0,841470581,5,3
66,1578940665.0,0,443693887,5,3
67,1578940670.0,0,700671597,5,3
68,1578940675.0,0,385006700,4,2
69,1578940680.0,0,245188106,3,1
70,1578940685.0,2008623578,277441676,14,13
71,1578940690.0,20303972119,340026655,14,12
72,1578940695.0,11439395300,846572074,13,11
73,1578940700.0,5598615271,1449938542,8,6
74,1578940705.0,0,1549301474,6,4
75,1578940710.0,0,1278749590,6,4
76,1578940715.0,0,761499388,6,4
77,1578940720.0,0,964061928,6,4
78,1578940725.0,0,1197061993,6,4
79,1578940730.0,0,1335431558,6,4
80,1578940735.0,0,1604002390,6,4
81,1578940740.0,0,1594885645,6,4
82,1578940745.0,0,1455805035,6,4
83,1578940750.0,0,1523362298,5,3
84,1578940755.0,0,793893836,5,3
85,1578940760.0,0,1232272905,5,3
86,1578940765.0,0,1012525679,5,3
87,1578940770.0,0,1072939326,5,3
88,1578940775.0,0,702186586,4,2
89,1578940780.0,0,413014589,3,2
