,duration,size
5acfcd0d68db6673711b35c1,674.0,305516.0
5acfcd6768db6673aa45f291,654.0,297367.0
5acfce3968db6674120f9501,574.0,317557.0
5acfcfbf68db6674b5416c91,495.0,218853.0
5acfcffb68db6674ee7d10a1,506.0,245793.0
5acfd07768db6675342ff391,492.0,210368.0
5acfd1bd68db6675c700d861,496.0,213452.0
5acfd1f968db6675fa264ab1,510.0,244874.0
5acfd27168db66764264bbc1,462.0,290752.0
5acfd3bb68db6676c9001071,460.0,202130.0
5acfd3f768db6676fe3fcba1,441.0,414912.0
5acfd43f68db66774863bc81,480.0,251787.0
5acfd59b68db6677cc0c36a1,482.0,228399.0
5acfd5b968db66780669f611,510.0,247019.0
5acfd61f68db6678460b7b81,490.0,212189.0
5acfd79968db667945792521,747.0,418552.0
5acfd7b768db6679726d1561,796.0,329876.0
5acfd80968db6679ac5a8f91,742.0,344202.0
5acfda8768db667a9f653e31,605.0,254421.0
5acfdae168db667ad87065c1,615.0,259969.0
5acfdaef68db667b0209d4b1,600.0,253161.0
5acfdcfd68db667bcd459271,648.0,332620.0
5acfdd4768db667c0938b461,630.0,267893.0
5acfdd5768db667c30236c51,635.0,270043.0
5acfdf9168db667d0b0d8bd1,592.0,337512.0
5acfdfbd68db667d3b121ab1,623.0,261112.0
5acfdfeb68db667d6e38b141,634.0,261989.0
5acfe1e968db667e2340e2a1,837.0,553041.0
5acfe24368db667e7a7d91b1,815.0,391439.0
5acfe27f68db667ea933e531,796.0,326685.0
5acfe52f68db667fb73be441,324.0,147653.0
5ad7075468db663abb719d71,867.0,335804.0
5ad7075468db663ac34172e1,851.0,332493.0
5ad7075468db663acb367df1,867.0,372170.0
5ad70ab768db663f86490f91,871.0,635292.0
5ad70ab768db663f8f1ea531,856.0,411455.0
5ad70ac268db663fb5344991,866.0,338367.0
5ad70e0f68db6640f12192e1,856.0,332669.0
5ad70e1e68db66411f4752e1,871.0,500886.0
5ad70e2768db664142040881,872.0,338237.0
5ad7116f68db66427155a3f1,850.0,330370.0
5ad7118d68db6642ab761e71,866.0,340275.0
5ad711ab68db6642d80ca8a1,866.0,412866.0
5ad714d668db6643fd5c66f1,851.0,330568.0
5ad714ef68db6644270c2441,868.0,340087.0
5ad7151268db664450150351,867.0,333979.0
5ad7183b68db66458d6864e1,851.0,330391.0
5ad7185368db6645c15fe961,866.0,338030.0
5ad7187768db6645f06b7f41,872.0,415304.0
5ad71ba268db66473d31e1f1,851.0,340132.0
5ad71bb568db6647674ddf21,866.0,392742.0
5ad71bdf68db66479b7fceb1,866.0,340257.0
5ad71f0768db6648bb5e0731,851.0,330877.0
5ad71f1768db6648e5734bb1,867.0,335790.0
5ad71f4368db66490f19fb81,867.0,378490.0
5ad7226e68db664a4f616521,856.0,401019.0
5ad7227a68db664a733349b1,866.0,335945.0
5ad722aa68db664aa26dddf1,866.0,537737.0
5ad725d368db664be37e41b1,856.0,328525.0
5ad725dc68db664c0752f271,867.0,333577.0
5ad7260f68db664c3a19d671,867.0,340363.0
5ad7293968db664d5a546be1,851.0,392195.0
5ad7293f68db664d8469ce01,866.0,342716.0
5ad7297568db664dbd6b7011,867.0,415884.0
5ad72c9f68db664f09334a01,851.0,328168.0
5ad72ca168db664f2d73afd1,866.0,344814.0
5ad72cdb68db664f5c585dc1,867.0,392970.0
5ad7300368db66509779aae1,867.0,340703.0
5ad7300368db6650a527bf81,856.0,345619.0
5ad7304268db6650dc225c91,867.0,403834.0
5ad7336668db665223267071,866.0,338555.0
5ad7336668db66522b18b731,851.0,376258.0
5ad733a768db6652776e8de1,866.0,335864.0
5ad736c868db6653b24d1f71,866.0,516852.0
5ad736c868db6653bb76aff1,851.0,330569.0
5ad7370e68db6653f51d1141,867.0,344781.0
5ad73a2a68db66553b39e671,872.0,421347.0
5ad73a2a68db665543458b31,851.0,479793.0
5ad73a7368db6655935a1111,867.0,340774.0
5ad73d7f68db6656f620ac11,851.0,330316.0
5ad73d9268db6657241f6d01,871.0,349417.0
5ad73dd968db6657770f1b91,867.0,331395.0
5ad740e568db6658e90a3eb1,852.0,402601.0
5ad740f968db66590d199e21,872.0,349269.0
5ad7413f68db6659425bd4e1,867.0,333762.0
5ad7444b68db665a806f58d1,851.0,332214.0
5ad7446268db665aaa155791,866.0,401671.0
5ad744a668db665ae3488021,870.0,335811.0
5ad747b268db665c2a7b5591,855.0,509756.0
5ad747c468db665c54210071,866.0,414067.0
5ad7482a68db665c93553741,866.0,338032.0
5ad74b0a68db665da20de001,855.0,326181.0
5ad74b2668db665dd00a4881,876.0,337902.0
5ad74b8d68db665e0f5e0941,866.0,337880.0
5ad74e7e68db665f27216581,861.0,381264.0
5ad74e9268db665f550d0fd1,871.0,343071.0
5ad74ef668db665f9a20a8a1,871.0,411569.0
5ad751f068db6660be5daac1,850.0,330389.0
5ad751f968db6660e813d881,866.0,342512.0
5ad7527a68db66614747d641,866.0,394965.0
5ad7554a68db66624c0f64b1,851.0,332797.0
5ad7555b68db6662764536d1,866.0,336024.0
5ad755dd68db6662bb71fa71,866.0,339977.0
5ad7589e68db6663d0039121,851.0,401289.0
5ad758bd68db6663fe7a1ca1,867.0,527178.0
5ad7594568db66644379c931,866.0,390968.0
5ad75bf768db66654668b4d1,851.0,330567.0
5ad75c2068db666570180791,867.0,336384.0
5ad75ca868db6665bf1ba911,866.0,340773.0
5ad75f5e68db6666d3422251,851.0,332657.0
5ad75f8368db6666fd11a051,866.0,419816.0
5ad7601268db666748505081,870.0,393824.0
5ad762b168db666845205721,857.0,339093.0
5ad762ed68db6668795bf741,869.0,341818.0
5ad7637868db6668da05a581,869.0,345887.0
5ad7660b68db6669cb2b3351,853.0,385901.0
5ad7665268db666a016a5ec1,869.0,345991.0
5ad766de68db666a500d3e91,869.0,341666.0
5ad7697268db666b4303ad11,853.0,397115.0
5ad769b768db666b837513f1,869.0,332269.0
5ad76a4368db666bc86d0491,869.0,334043.0
5ad76cd768db666ce344e391,858.0,513402.0
5ad76d3168db666d1d7f7781,869.0,388615.0
5ad76daa68db666d620bf461,869.0,343239.0
5ad7703e68db666e593c24f1,859.0,331215.0
5ad7709668db666e995a7231,869.0,417991.0
5ad7710f68db666ede598f71,869.0,338792.0
5ad7739968db666fd11e04f1,853.0,338010.0
5ad773fb68db6670211802f1,868.0,394598.0
5ad7747568db6670702bb261,869.0,341358.0
5ad7770968db66715d3e4c71,853.0,375993.0
5ad7775f68db667197631031,869.0,416618.0
5ad777db68db6671e25c4fd1,869.0,395754.0
