,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount,min,max,accelerated,accelPossible,accelImpossible,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,filesCreated,filesDeleted,filesRO,filesWO,filesRW,IOSizeReadRange0,IOSizeReadRange1,IOSizeReadRange2,IOSizeReadRange3,IOSizeReadRange4,IOSizeReadRange5,IOSizeReadRange6,IOSizeWriteRange0,IOSizeWriteRange1,IOSizeWriteRange2,IOSizeWriteRange3,IOSizeWriteRange4,IOSizeWriteRange5,IOSizeWriteRange6,IODurationReadRange0,IODurationReadRange1,IODurationReadRange2,IODurationReadRange3,IODurationReadRange4,IODurationReadRange5,IODurationReadRange6,IODurationReadRange7,IODurationReadRange8,IODurationReadRange9,IODurationReadRange10,IODurationReadRange11,IODurationReadRange12,IODurationReadRange13,IODurationReadRange14,IODurationReadRange15,IODurationWriteRange0,IODurationWriteRange1,IODurationWriteRange2,IODurationWriteRange3,IODurationWriteRange4,IODurationWriteRange5,IODurationWriteRange6,IODurationWriteRange7,IODurationWriteRange8,IODurationWriteRange9,IODurationWriteRange10,IODurationWriteRange11,IODurationWriteRange12,IODurationWriteRange13,IODurationWriteRange14,IODurationWriteRange15,operationRead,operationWrite
16,1587556185000,1680392,71995118,25,3,2,40,510,0,4,0,200,0,7,0,280,0,27,2,0,3,3,0,1,1,205,0,0,0,0,0,1,291,0,15,0,0,0,54,151,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,6,0,4,12,0,0,0,0,0,0,0,0,207,307
17,1587556190000,85832136,76610676,25,3,2,40,1082,0,3,0,200,0,11,0,800,0,74,1,0,4,3,0,1,1,208,0,0,1,0,0,1,858,0,15,0,0,0,73,135,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,854,3,0,6,9,2,0,0,0,0,0,0,0,211,874
18,1587556195000,5838,21133567,26,3,2,40,2017,0,11,0,0,0,6,0,2000,0,22,4,0,2,8,0,4,2,0,0,0,0,0,0,10,2011,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,5,3,0,1,7,0,0,0,0,0,0,0,6,2022
19,1587556200000,89116080,3624695,25,5,2,40,1064,0,3,0,560,0,63,0,400,0,44,2,0,9,3,0,3,8,611,0,0,1,0,0,2,442,0,0,0,0,0,537,74,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,441,0,1,0,1,1,0,0,0,0,0,0,0,623,444
20,1587556205000,25511845,22733780,33,22,2,40,5926,0,2,0,3040,0,111,0,2760,0,17,4,2,23,2,0,18,20,3113,0,0,0,0,0,2,2775,0,0,0,0,0,2552,575,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,0,1,0,0,0,0,0,0,0,0,0,0,3151,2777
21,1587556210000,20202378,0,25,1,2,40,2465,0,3,0,2440,0,28,0,0,0,0,0,0,1,0,0,1,1,2466,0,0,0,0,0,0,0,0,0,0,0,0,2039,425,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468,0
22,1587556215000,0,0,25,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1587556220000,0,376832,25,1,2,40,45,0,1,0,0,0,0,0,40,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,46
24,1587556225000,0,14884864,25,1,2,40,1810,0,7,0,0,0,0,0,1800,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,5,0,0,0,5,0,0,0,0,0,0,0,0,1817
25,1587556230000,38044463,32677,27,3,2,40,4650,0,1,0,4600,0,47,0,0,0,4,0,0,2,1,0,2,1,4644,0,0,0,0,0,0,4,0,0,0,0,0,4270,373,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4647,4
