job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,wl_volume,lfs_t,lfs_bw,lfs_str_bw,lfs_avg,lfs_std,std/avg
6873,1642,read,uncl,328.4,1,164.2,1.0 GB,"[0.195, 0.229, 0.204, 0.225, 0.194, 0.197, 0.234, 0.209, 0.214, 0.192]","[5128205128.205128, 4366812227.074236, 4901960784.313725, 4444444444.444445, 5154639175.257731, 5076142131.979695, 4273504273.5042734, 4784688995.215311, 4672897196.2616825, 5208333333.333333]","['5.13 GB', '4.37 GB', '4.9 GB', '4.44 GB', '5.15 GB', '5.08 GB', '4.27 GB', '4.78 GB', '4.67 GB', '5.21 GB']",4801162768.958957,330835203.61308366,6.890730840288073
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,1.0 GB,"[0.214, 0.208, 0.476, 0.199, 0.222, 0.202, 0.198, 0.236, 0.199, 0.198]","[4672897196.2616825, 4807692307.692307, 2100840336.1344538, 5025125628.140703, 4504504504.504504, 4950495049.504951, 5050505050.505051, 4237288135.5932207, 5025125628.140703, 5050505050.505051]","['4.67 GB', '4.81 GB', '2.1 GB', '5.03 GB', '4.5 GB', '4.95 GB', '5.05 GB', '4.24 GB', '5.03 GB', '5.05 GB']",4542497888.698263,853936968.3871502,18.79884128315713
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,1.0 GB,"[0.196, 0.212, 0.201, 0.2, 0.211, 0.2, 0.2, 0.198, 0.207, 0.196]","[5102040816.32653, 4716981132.075472, 4975124378.109452, 5000000000.0, 4739336492.890995, 5000000000.0, 5000000000.0, 5050505050.505051, 4830917874.396135, 5102040816.32653]","['5.1 GB', '4.72 GB', '4.98 GB', '5.0 GB', '4.74 GB', '5.0 GB', '5.0 GB', '5.05 GB', '4.83 GB', '5.1 GB']",4951694656.063017,133151815.34391296,2.6890150664051453
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,1.05 GB,"[0.224, 0.201, 0.233, 0.207, 0.2, 0.215, 0.206, 0.212, 0.418, 0.215]","[4678594143.535804, 5213955662.447861, 4497875914.8155365, 5062826512.811691, 5240025440.7601, 4874442270.474512, 5087403340.543787, 4943420227.132171, 2507189206.1053114, 4874442270.474512]","['4.68 GB', '5.21 GB', '4.5 GB', '5.06 GB', '5.24 GB', '4.87 GB', '5.09 GB', '4.94 GB', '2.51 GB', '4.87 GB']",4698017498.910128,762056964.796306,16.220820058100937
6873,10485760000,write,rand,1048576.0,1,524288000.0,1.0 GB,"[21.371, 16.554, 18.371, 19.109, 12.093, 16.224, 16.205, 17.889, 17.5, 16.873]","[46792382.20017781, 60408360.51709557, 54433618.20260193, 52331362.18535768, 82692466.71628214, 61637080.867850095, 61709348.966368414, 55900273.91134217, 57142857.14285714, 59266283.41136727]","['46.79 MB', '60.41 MB', '54.43 MB', '52.33 MB', '82.69 MB', '61.64 MB', '61.71 MB', '55.9 MB', '57.14 MB', '59.27 MB']",59231403.41213002,8969684.743750323,15.143461452938356
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,1.0 GB,"[12.847, 13.015, 12.388, 12.461, 12.1, 12.308, 12.587, 12.681000000000001, 12.152, 11.806000000000001]","[77839184.24534911, 76834421.8209758, 80723280.59412335, 80250381.18931064, 82644628.09917356, 81247968.80077998, 79447048.54214667, 78858134.21654443, 82290980.90849243, 84702693.54565474]","['77.84 MB', '76.83 MB', '80.72 MB', '80.25 MB', '82.64 MB', '81.25 MB', '79.45 MB', '78.86 MB', '82.29 MB', '84.7 MB']",80483872.19625507,2246319.8629762763,2.791018624823071
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,1.05 GB,"[12.733, 12.437, 13.277, 12.443, 12.606, 12.602, 12.85, 13.507, 12.74, 12.552]","[82351056.31037462, 84311007.47768755, 78976877.30662048, 84270352.80880816, 83180707.59955576, 83207109.98254246, 81601245.13618678, 77632042.64455467, 82305808.47723705, 83538559.59209688]","['82.35 MB', '84.31 MB', '78.98 MB', '84.27 MB', '83.18 MB', '83.21 MB', '81.6 MB', '77.63 MB', '82.31 MB', '83.54 MB']",82137476.73356643,2100445.1089504664,2.557231111157442
6873,0,read,uncl,0.0,1,0.0,0B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B']",0.0,0.0,
6873,1642,read,uncl,328.4,1,164.2,1.0 GB,"[0.208, 0.228, 0.219, 0.191, 0.214, 0.228, 0.198, 0.197, 0.227, 0.237]","[4807692307.692307, 4385964912.280702, 4566210045.662101, 5235602094.240838, 4672897196.2616825, 4385964912.280702, 5050505050.505051, 5076142131.979695, 4405286343.612334, 4219409282.7004223]","['4.81 GB', '4.39 GB', '4.57 GB', '5.24 GB', '4.67 GB', '4.39 GB', '5.05 GB', '5.08 GB', '4.41 GB', '4.22 GB']",4680567427.721583,330563404.6629096,7.0624643222760275
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,1.0 GB,"[0.202, 0.397, 0.212, 0.202, 0.428, 0.253, 0.244, 0.199, 0.211, 0.225]","[4950495049.504951, 2518891687.6574306, 4716981132.075472, 4950495049.504951, 2336448598.1308413, 3952569169.9604745, 4098360655.737705, 5025125628.140703, 4739336492.890995, 4444444444.444445]","['4.95 GB', '2.52 GB', '4.72 GB', '4.95 GB', '2.34 GB', '3.95 GB', '4.1 GB', '5.03 GB', '4.74 GB', '4.44 GB']",4173314790.8047957,937475595.6331452,22.46357254666522
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,1.0 GB,"[0.219, 0.224, 0.204, 0.213, 0.217, 0.437, 0.233, 0.202, 0.232, 0.208]","[4566210045.662101, 4464285714.285714, 4901960784.313725, 4694835680.751174, 4608294930.875576, 2288329519.450801, 4291845493.5622315, 4950495049.504951, 4310344827.586206, 4807692307.692307]","['4.57 GB', '4.46 GB', '4.9 GB', '4.69 GB', '4.61 GB', '2.29 GB', '4.29 GB', '4.95 GB', '4.31 GB', '4.81 GB']",4388429435.368479,732177889.6859552,16.684280799526565
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,1.05 GB,"[0.206, 0.205, 0.2, 1.3820000000000001, 0.404, 0.211, 0.223, 0.203, 0.426, 0.207]","[5087403340.543787, 5112219942.204976, 5240025440.7601, 758324955.247482, 2594072000.376287, 4966848759.014314, 4699574386.331928, 5162586641.142956, 2460105840.7324414, 5062826512.811691]","['5.09 GB', '5.11 GB', '5.24 GB', '758.32 MB', '2.59 GB', '4.97 GB', '4.7 GB', '5.16 GB', '2.46 GB', '5.06 GB']",4114398781.916597,1502931964.6117966,36.528592493693345
