job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,lfs_bw,sbb_bw
6873,1642,read,uncl,328.4,1,164.2,3995.1338199513384,5131.25
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,658490153.4040369,477562206.82810634
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,3095076551.6819963,5232618002.283602
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,7146232066.9042845,16872073500.175316
6873,10485760000,write,rand,1048576.0,1,524288000.0,230183079.42222416,285614360.03595454
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,322426463.8053712,344792481.86559165
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,330363168.35800767,356265883.8558867
6873,0,read,uncl,0.0,1,0.0,0.0,0.0
6873,1642,read,uncl,328.4,1,164.2,8596.858638743455,4945.78313253012
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,664721204.0337063,1642572724.3556921
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,3139707369.7638,7975991239.68175
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,7175002404.011034,18127388819.92842
6873,10485760000,write,rand,1048576.0,1,524288000.0,236357406.9065008,287651496.4474803
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,321337599.13703287,346856847.9828519
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,330366290.9029042,355300145.0237866
6873,0,read,uncl,0.0,1,0.0,0.0,0.0
