job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,wl_volume,lfs_t,lfs_bw,lfs_str_bw,lfs_avg,lfs_std,std/avg
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,1000000000.0,"[0.588, 0.2]","[1700680272.1088436, 5000000000.0]","['1.7 GB', '5.0 GB']",3350340136.054422,1649659863.945578,49.238578680203034
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,1000000000.0,"[0.202, 0.197]","[4950495049.504951, 5076142131.979695]","['4.95 GB', '5.08 GB']",5013318590.742323,62823541.2373724,1.253132832080199
