job_id,nodes,read_volume,write_volume,read_io_pattern,write_io_pattern,read_io_size,write_io_size,ioi_bw
5182,1,0,2348810240,uncl,seq,0.0,10485760.0,469762048.0
5182,1,0,3575644160,uncl,seq,0.0,10485760.0,715128832.0
5182,1,0,3124756480,uncl,seq,0.0,10485760.0,312475648.0
5182,1,0,20877148160,uncl,seq,0.0,10485760.0,835085926.4
5182,1,0,859832320,uncl,uncl,0.0,10485760.0,171966464.0
5182,1,0,0,uncl,uncl,0.0,0.0,0.0
5183,1,0,0,uncl,uncl,0.0,0.0,0.0
5183,1,3145733394,0,seq,uncl,1044400.1972111554,0.0,629146678.8
5183,1,15728643189,0,seq,uncl,5221993.09063745,0.0,3145728637.8
5183,1,31457281017,0,seq,uncl,10443984.401394423,0.0,6291456203.4
5183,1,0,2981101568,uncl,seq,0.0,1048576.0,198740104.53333333
5183,1,0,5484052480,uncl,seq,0.0,10485760.0,548405248.0
5183,1,0,1384120320,uncl,seq,0.0,10485760.0,276824064.0
5183,1,0,24274534400,uncl,seq,0.0,10485760.0,809151146.6666667
5183,1,0,0,uncl,uncl,0.0,0.0,0.0
5184,1,0,0,uncl,uncl,0.0,0.0,0.0
5184,1,3145733394,0,seq,uncl,1044400.1972111554,0.0,629146678.8
5184,1,15728643189,0,seq,uncl,5221993.09063745,0.0,3145728637.8
5184,1,9930015659,0,seq,uncl,10419743.608604407,0.0,1986003131.8
5184,1,21527265358,0,seq,uncl,10455204.156386595,0.0,4305453071.6
5184,1,0,2000683008,uncl,seq,0.0,1048576.0,400136601.6
5184,1,0,3303014400,uncl,seq,0.0,10485760.0,660602880.0
5184,1,0,26109542400,uncl,seq,0.0,10485760.0,745986925.7142857
5184,1,0,0,uncl,uncl,0.0,0.0,0.0
5192,1,0,0,uncl,uncl,0.0,0.0,0.0
5192,1,3145733394,0,seq,uncl,1044400.1972111554,0.0,314573339.4
5192,1,15728643189,0,seq,uncl,5221993.09063745,0.0,3145728637.8
5192,1,8965325739,0,seq,uncl,10412689.592334494,0.0,1793065147.8
5192,1,22491955278,0,seq,uncl,10456511.054393305,0.0,4498391055.6
5192,1,0,3092250624,uncl,seq,0.0,1048576.0,618450124.8
5192,1,0,29905387520,uncl,seq,0.0,10485760.0,996846250.6666666
5192,1,0,1551892480,uncl,seq,0.0,10485760.0,310378496.0
5192,1,0,0,uncl,uncl,0.0,0.0,0.0
5193,1,0,0,uncl,uncl,0.0,0.0,0.0
5193,1,3145733394,0,seq,uncl,1044400.1972111554,0.0,314573339.4
5193,1,15728643189,0,seq,uncl,5221993.09063745,0.0,3145728637.8
5193,1,9699328939,0,seq,uncl,10418183.607948443,0.0,1939865787.8
5193,1,21757952078,0,seq,uncl,10455527.187890437,0.0,4351590415.6
5193,1,0,3115319296,uncl,seq,0.0,1048576.0,623063859.2
5193,1,0,29758586880,uncl,seq,0.0,10485760.0,991952896.0
5193,1,0,1698693120,uncl,seq,0.0,10485760.0,339738624.0
5193,1,0,0,uncl,uncl,0.0,0.0,0.0
5194,1,6457,0,uncl,uncl,379.8235294117647,0,1291.4
5194,1,4639,0,uncl,uncl,463.9,0,927.8
5194,1,755,0,uncl,uncl,377.5,0,151.0
5194,1,2126,0,uncl,uncl,265.75,0,425.2
5194,1,673,0,uncl,uncl,336.5,0,134.6
5194,1,1068,0,uncl,uncl,106.8,0,213.6
5194,1,0,0,uncl,uncl,0.0,0,0.0
5281,1,0,0,uncl,uncl,0.0,0.0,0.0
5281,1,21827161268,0,seq,uncl,1048173.3225124856,0.0,4365432253.6
5281,1,18055431346,0,seq,uncl,1048332.5405562329,0.0,1805543134.6
5281,1,0,0,uncl,uncl,0.0,0.0,0.0
5281,1,96379864078,0,str,uncl,5241739.494099092,0.0,19275972815.6
5281,1,7796163184,0,str,uncl,5228815.012743126,0.0,1559232636.8
5281,1,31546408960,0,str,uncl,5242880.0,0.0,6309281792.0
5281,1,20882391352,0,str,uncl,5240248.77089084,0.0,4176478270.4
5281,1,43757076480,0,str,uncl,5242880.0,0.0,8751415296.0
5281,1,8671723832,0,str,uncl,5236548.207729469,0.0,1734344766.4
5281,1,20971520522,0,seq,uncl,10443984.32370518,0.0,4194304104.4
