job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,lfs_bw,sbb_bw
6873,1642,read,uncl,328.4,1,164.2,491400491.40049136,11335169.630813524
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,596302921.8843172,939849624.0601504
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,634115409.0044389,982318271.1198428
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,730826421.3054534,1025445291.7338748
6873,10485760000,write,rand,1048576.0,1,524288000.0,214546234.7135808,221729490.02217296
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,260756192.9595828,272553829.38130283
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,265193727.8705109,266338836.67767334
6873,0,read,uncl,0.0,1,0.0,0.0,0.0
6873,1642,read,uncl,328.4,1,164.2,492125984.2519685,11180929.806122677
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,593824228.0285035,959692898.2725527
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,640204865.5569782,996015936.2549801
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,727276258.2595559,1234399397.1166315
6873,10485760000,write,rand,1048576.0,1,524288000.0,223613595.706619,259605399.7923157
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,245098039.21568626,282805429.8642534
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,270251546.3917526,284939130.4347826
6873,0,read,uncl,0.0,1,0.0,0.0,0.0
