job_id,nodes,read_volume,write_volume,read_io_pattern,write_io_pattern,read_io_size,write_io_size,ioi_bw
3918,1,0,0,uncl,uncl,0.0,0.0,0.0
3918,1,1730808132,0,seq,uncl,2131537.108374384,0.0,346161626.4
3918,1,1588775126,2038785597,seq,seq,1217452.2038314177,2067733.8711967545,362756072.3
3918,1,3168984277,4139017218,seq,seq,3486231.327832783,2069508.609,592832908.9
3918,1,3023280,5334798849,seq,seq,5030.415973377704,5334798.849,267344598.45
3918,1,7054320,5305154361,seq,seq,5038.8,5331813.428140704,265963150.05
3918,1,2519400,5334798849,seq,seq,5038.8,5334798.849,213895833.95999998
3918,1,0,0,uncl,uncl,0.0,0.0,0.0
