job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,wl_volume,lfs_t,lfs_bw,lfs_str_bw,lfs_avg,lfs_std,std/avg
6873,1642,read,uncl,328.4,1,164.2,1.0 GB,"[96.707, 85.295, 90.644, 87.866, 87.18, 88.586, 89.269, 89.27, 87.051, 89.697]","[10340513.096259838, 11724016.64810364, 11032169.807157671, 11380966.471672775, 11470520.761642577, 11288465.44600727, 11202097.032564495, 11201971.54699227, 11487518.810812052, 11148644.882214567]","['10.34 MB', '11.72 MB', '11.03 MB', '11.38 MB', '11.47 MB', '11.29 MB', '11.2 MB', '11.2 MB', '11.49 MB', '11.15 MB']",11227688.450342717,351124.0289014122,3.127304702605053
6873,9623833592,read,rand,1048005.4004138082,1,1924766718.4,1.0 GB,"[0.739, 0.729, 0.715, 0.797, 0.701, 0.725, 0.735, 1.6480000000000001, 0.723, 0.862]","[1353179972.9364007, 1371742112.4828532, 1398601398.6013987, 1254705144.2910914, 1426533523.5378032, 1379310344.8275862, 1360544217.687075, 606796116.5048543, 1383125864.4536653, 1160092807.424594]","['1.35 GB', '1.37 GB', '1.4 GB', '1.25 GB', '1.43 GB', '1.38 GB', '1.36 GB', '606.8 MB', '1.38 GB', '1.16 GB']",1269463150.274732,233110688.23899522,18.362934614411323
6873,48119155149,read,rand,5240025.606991179,1,4811915514.9,1.0 GB,"[0.616, 0.639, 0.634, 0.982, 0.641, 1.138, 1.71, 1.6219999999999999, 0.721, 1.705]","[1623376623.3766234, 1564945226.917058, 1577287066.2460568, 1018329938.9002037, 1560062402.4960997, 878734622.1441126, 584795321.6374269, 616522811.3440198, 1386962552.0110958, 586510263.9296187]","['1.62 GB', '1.56 GB', '1.58 GB', '1.02 GB', '1.56 GB', '878.73 MB', '584.8 MB', '616.52 MB', '1.39 GB', '586.51 MB']",1139752682.9002314,425979857.2620699,37.37476240706144
6873,96238307245,read,rand,10480050.8815202,1,6415887149.666666,1.05 GB,"[0.654, 1.338, 0.634, 0.62, 1.361, 0.649, 1.432, 1.147, 0.65, 0.716]","[1602454263.2293885, 783262397.7219881, 1653004870.9022398, 1690330787.3419678, 770025781.1550479, 1614799827.661048, 731847128.5977794, 913692317.4821448, 1612315520.233877, 1463694257.1955588]","['1.6 GB', '783.26 MB', '1.65 GB', '1.69 GB', '770.03 MB', '1.61 GB', '731.85 MB', '913.69 MB', '1.61 GB', '1.46 GB']",1283542715.152104,401135660.3624428,31.252225237779246
6873,10485760000,write,rand,1048576.0,1,524288000.0,1.0 GB,"[3.9, 4.462, 4.352, 3.656, 4.537, 4.099, 3.683, 3.718, 4.443, 3.953]","[256410256.41025642, 224114746.75033617, 229779411.76470587, 273522975.92997813, 220409962.53030637, 243961941.9370578, 271517784.4148792, 268961807.42334586, 225073148.77335137, 252972426.0055654]","['256.41 MB', '224.11 MB', '229.78 MB', '273.52 MB', '220.41 MB', '243.96 MB', '271.52 MB', '268.96 MB', '225.07 MB', '252.97 MB']",246672446.19397822,19817646.2852102,8.03399268584137
6873,52428800000,write,rand,5242880.0,1,582542222.2222222,1.0 GB,"[3.4050000000000002, 4.075, 3.342, 3.982, 4.013, 3.416, 3.8890000000000002, 3.364, 3.358, 3.403]","[293685756.2408223, 245398773.00613496, 299222022.7408737, 251130085.384229, 249190132.07077, 292740046.8384075, 257135510.41398814, 297265160.5231867, 297796307.32578915, 293858360.2703497]","['293.69 MB', '245.4 MB', '299.22 MB', '251.13 MB', '249.19 MB', '292.74 MB', '257.14 MB', '297.27 MB', '297.8 MB', '293.86 MB']",277742215.4814551,22310798.200004745,8.03291576015186
6873,104857600000,write,rand,10485760.0,1,676500645.1612904,1.05 GB,"[4.187, 4.127, 3.5300000000000002, 3.43, 3.6959999999999997, 3.555, 3.485, 4.427, 4.087, 4.681]","[250436111.77454022, 254077053.54979405, 297047025.49575067, 305707288.6297376, 283705627.70562774, 294958087.20112514, 300882639.8852224, 236859272.64513215, 256563738.68363103, 224006836.14612263]","['250.44 MB', '254.08 MB', '297.05 MB', '305.71 MB', '283.71 MB', '294.96 MB', '300.88 MB', '236.86 MB', '256.56 MB', '224.01 MB']",270424368.1716683,27928009.157553554,10.327475052035457
6873,0,read,uncl,0.0,1,0.0,0B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B', '0B']",0.0,0.0,
